Date,Close,High,Low,Open,Volume,Stock,Return,MA20,MA50,Volatility,RSI,MACD,Trend
2025-05-22,947.1474609375,949.2687509312964,939.895449442171,944.828766015395,21306670,HDFC BANK,-0.003581070429987232,949.549951171875,,0.012001121749271723,53.429975513997846,8.958019280155895,Sideways
2025-05-23,953.9060668945312,955.583406549638,944.4834444188342,947.246089616049,9566072,HDFC BANK,0.007135748376859485,949.9643493652344,,0.012071572131365864,56.02925425778424,8.683336967775631,Sideways
2025-05-26,957.1619873046876,961.9473401627192,950.6007128758196,954.596686963064,10802860,HDFC BANK,0.0034132505528097212,950.6796783447265,,0.01206003052867934,57.266666747977595,8.628906163526835,Sideways
2025-05-27,950.3047485351562,961.0100208805312,945.3714322062008,952.9193700568148,26162148,HDFC BANK,-0.007164136123751552,950.8301452636719,,0.012150503103324906,53.8307601325634,7.940909635408957,Sideways
2025-05-28,948.9234008789062,954.3500488693757,946.0620533045636,947.2953823933068,18157594,HDFC BANK,-0.0014535838723096495,951.1927429199219,,0.012071879004744187,53.13910109434508,7.201193344385956,Sideways
2025-05-29,950.896728515625,957.4580633637506,940.9314535555671,951.1433943336576,28917794,HDFC BANK,0.0020795436543044055,951.2544097900391,,0.011931636957241453,54.04744866573859,6.696995111962224,Sideways
2025-05-30,959.480712890625,961.4047183192448,949.8607459686727,953.0674016093236,28748078,HDFC BANK,0.009027251979717876,951.8217376708984,,0.012085979197290304,57.87285744369542,6.910411260496744,Sideways
2025-06-02,953.166015625,955.09002099665,941.2767355690124,952.1793523801688,14668822,HDFC BANK,-0.006581369672977289,951.7058013916015,,0.012068481275188846,54.292268168720824,6.4951299851906015,Sideways
2025-06-03,949.466064453125,962.9833634640112,947.1967509482078,956.0767204883472,24377584,HDFC BANK,-0.0038817489411315798,951.5306701660156,,0.012085747620262356,52.25234637001544,5.800595787291854,Sideways
2025-06-04,957.6553344726562,958.6913790708478,947.6407385330224,947.690059651711,12961542,HDFC BANK,0.008625131877934011,951.4221343994141,929.9079479980469,0.012135379795727142,56.177084481586476,5.843616508019977,Bullish
2025-06-05,961.79931640625,966.3873245707182,957.1619871239031,961.0099978567569,22255418,HDFC BANK,0.004327216467577832,951.9425964355469,931.6923278808594,0.011991454856237337,58.05591132467102,6.141302337959473,Bullish
2025-06-06,976.1552734375,984.8379583134906,958.3953347348496,959.036689943126,30127008,HDFC BANK,0.014926146012341546,954.1379211425781,933.7480395507813,0.011345763290820422,63.83974680802529,7.449750174872634,Bullish
2025-06-09,976.2540283203124,984.1966559557252,974.7740333489504,984.1966559557252,13202588,HDFC BANK,0.00010116718671682179,954.6731872558594,935.5131811523438,0.008191413709915657,63.87664833343277,8.397867813534504,Bullish
2025-06-10,969.5447387695312,978.1780428487654,967.472709657825,978.1780428487654,15533126,HDFC BANK,-0.006872483345676694,955.7264556884766,936.9324975585937,0.00722257295893497,59.43867568455191,8.509778844748439,Bullish
2025-06-11,962.1940307617188,970.6793107759778,960.516691162301,970.6793107759778,11096394,HDFC BANK,-0.007581607855601802,956.7081848144531,938.3518115234375,0.00730029622994815,54.93536571477605,7.914099625335439,Sideways
2025-06-12,958.74072265625,967.4233474890254,954.7447484104944,961.9966994408974,16349130,HDFC BANK,-0.0035889934826710546,956.9449829101562,939.5165673828125,0.006878255132320629,52.90735787177113,7.0817326430192225,Sideways
2025-06-13,946.0127563476562,953.6100757725884,943.7434428106372,947.19676434732,12117762,HDFC BANK,-0.01327571261741145,956.5231842041015,940.3986450195313,0.007514571398304555,46.14564529458371,5.333553419800751,Sideways
2025-06-16,954.7940673828124,956.520728121515,947.2460692080248,949.1700746468088,16513746,HDFC BANK,0.009282444635375642,956.4417846679687,942.0517993164062,0.007807588238736574,50.81599645205008,4.603619542080082,Sideways
2025-06-17,951.9327392578124,957.852719054467,946.75275693574,955.5834055099792,16978736,HDFC BANK,-0.0029968013237066105,956.8043823242188,943.3611010742187,0.007302569954936142,49.31526472181856,3.7510170291413942,Sideways
2025-06-18,954.0540771484376,955.2380851367438,945.7167603313338,945.7167603313338,18433816,HDFC BANK,0.00222845354838741,956.9795135498047,944.733056640625,0.0071892676522346734,50.48284085432109,3.20950050994702,Sideways
